open_time,open,high,low,close,volume
1735689600000,3336.58,3364.5,3334.76,3362.9,68327.229
1735693200000,3362.89,3365.32,3341.18,3345.82,40083.238
1735696800000,3345.83,3368.02,3345.25,3361.81,41313.759
1735700400000,3361.81,3363.0,3350.23,3354.34,24803.739
1735704000000,3354.35,3355.77,3338.26,3339.94,54111.924
1735707600000,3339.93,3350.56,3339.13,3344.21,33959.083
1735711200000,3344.21,3347.33,3335.46,3345.66,31966.608
1735714800000,3345.66,3348.0,3338.31,3345.84,22582.048
1735718400000,3345.83,3348.0,3330.06,3335.57,46742.475
1735722000000,3335.56,3340.17,3312.62,3333.64,145735.708
1735725600000,3333.63,3338.05,3324.92,3325.99,37882.439
1735729200000,3326.0,3348.0,3322.68,3340.06,53315.44
1735732800000,3340.06,3351.57,3337.29,3346.0,44300.26
1735736400000,3346.0,3352.78,3330.98,3343.1,59127.65
1735740000000,3343.1,3359.09,3327.0,3345.19,95850.734
1735743600000,3345.19,3354.25,3332.0,3352.07,59525.611
1735747200000,3352.06,3356.78,3331.18,3337.74,57909.29
1735750800000,3337.74,3344.38,3321.11,3342.91,56432.884
1735754400000,3342.91,3351.48,3332.37,3347.8,41537.439
1735758000000,3347.8,3364.3,3337.5,3356.23,64013.166
1735761600000,3356.21,3361.76,3351.0,3359.18,44596.591
1735765200000,3359.18,3371.12,3352.0,3367.6,58859.648
1735768800000,3367.6,3374.14,3357.7,3360.55,50032.468
1735772400000,3360.54,3366.0,3352.0,3359.36,38270.409
1735776000000,3359.35,3399.77,3353.5,3389.12,142705.349
1735779600000,3389.11,3405.0,3375.84,3383.01,81972.971
1735783200000,3383.0,3398.0,3377.0,3397.89,40854.069
1735786800000,3397.89,3401.77,3386.67,3388.0,33251.725
1735790400000,3388.01,3427.7,3387.4,3417.81,132806.188
1735794000000,3417.8,3419.19,3402.44,3412.48,75237.874
1735797600000,3412.48,3415.73,3401.92,3410.2,43264.332
1735801200000,3410.2,3421.82,3408.6,3419.69,49566.015
1735804800000,3419.7,3442.85,3414.18,3437.99,92585.616
1735808400000,3437.98,3471.67,3433.95,3467.87,134724.109
1735812000000,3467.84,3476.17,3457.19,3468.68,109477.485
1735815600000,3468.68,3475.0,3456.44,3470.57,66119.745
1735819200000,3470.58,3481.07,3465.03,3479.98,83323.364
1735822800000,3479.98,3484.54,3458.55,3465.31,149806.309
1735826400000,3465.31,3511.14,3439.57,3494.53,350273.136
1735830000000,3494.43,3495.68,3455.34,3462.76,161495.102
1735833600000,3462.75,3488.87,3447.43,3468.82,121085.028
1735837200000,3468.81,3478.37,3428.0,3449.67,156645.964
1735840800000,3449.67,3464.78,3439.42,3464.16,114246.961
1735844400000,3464.16,3473.79,3457.68,3462.32,60627.834
1735848000000,3462.32,3474.9,3451.0,3452.17,47718.641
1735851600000,3452.2,3455.4,3441.96,3453.74,50474.589
1735855200000,3453.75,3453.75,3420.0,3440.0,72959.738
1735858800000,3440.0,3456.41,3437.0,3454.83,38858.137
1735862400000,3454.83,3466.24,3445.68,3448.79,57401.847
1735866000000,3448.79,3465.58,3442.1,3464.35,77611.106
1735869600000,3464.35,3476.48,3455.92,3456.49,59740.076
1735873200000,3456.54,3471.96,3455.04,3469.33,42836.577
1735876800000,3469.33,3470.1,3455.0,3457.74,39580.485
1735880400000,3457.75,3459.99,3443.72,3455.13,65375.565
1735884000000,3455.13,3460.91,3441.01,3441.88,43879.536
1735887600000,3441.88,3443.51,3431.01,3432.62,76101.559
1735891200000,3432.62,3441.96,3421.56,3429.01,83220.413
1735894800000,3429.01,3450.08,3428.0,3442.77,53487.328
1735898400000,3442.77,3451.66,3437.22,3444.83,40188.109
1735902000000,3444.83,3466.54,3444.83,3464.73,58123.199
1735905600000,3464.74,3475.5,3460.0,3462.45,65457.43
1735909200000,3462.45,3496.74,3462.02,3480.31,157702.217
1735912800000,3480.3,3536.6,3479.78,3526.53,294026.725
1735916400000,3526.54,3578.19,3518.91,3564.32,309790.231
1735920000000,3564.32,3598.69,3564.31,3583.7,269756.36
1735923600000,3583.69,3593.0,3572.95,3574.27,90507.431
1735927200000,3574.27,3617.0,3573.17,3604.63,168959.18
1735930800000,3604.63,3630.0,3600.48,3621.91,161324.848
1735934400000,3621.9,3622.77,3598.28,3600.15,97927.148
1735938000000,3600.1,3616.22,3594.22,3613.5,69735.392
1735941600000,3613.5,3623.21,3609.21,3615.13,47128.881
1735945200000,3615.13,3616.87,3603.26,3607.89,60966.131
1735948800000,3607.9,3619.9,3601.06,3601.97,60860.868
1735952400000,3601.98,3603.53,3581.44,3595.65,69725.939
1735956000000,3595.65,3599.46,3582.0,3595.43,39441.396
