side,entry_time,exit_time,entry_price,exit_price,gross_ret,fee_ret,net_ret,pnl,reason,capital_before,capital_after,position_notional,fee_usd,slippage_usd
short,2025-10-13 08:00:00+00:00,2025-10-13 17:00:00+00:00,4173.51,4194.37755,-0.00497512437810943,-0.0006963955223879825,-0.005671519900497413,-65.06659905874332,SL,11472.515339853917,11407.448740795173,11472.515339853917,7.989408313201712,0.0
short,2025-10-19 23:00:00+00:00,2025-10-20 03:00:00+00:00,3980.59,4000.49295,-0.00497512437810943,-0.0006963955223879825,-0.005671519900497413,-64.69757254732397,SL,11407.448740795173,11342.751168247849,11407.448740795173,7.944096224960187,0.0
long,2025-10-21 14:00:00+00:00,2025-10-21 16:00:00+00:00,4019.95,4028.02,0.0020074876553191068,-0.0007012824954413244,0.0013062051598777824,14.815960103175085,TRAIL_RSI,11342.751168247849,11357.567128351024,11342.751168247849,7.954472844438849,0.0
short,2025-10-24 14:00:00+00:00,2025-10-24 19:00:00+00:00,3900.49,3919.9924499999993,-0.004975124378109319,-0.0006963955223879825,-0.005671519900497302,-64.41466798967681,SL,11357.567128351024,11293.152460361347,11357.567128351024,7.9093588934045895,0.0
long,2025-10-29 05:00:00+00:00,2025-10-29 09:00:00+00:00,4025.01,4004.88495,-0.0050000000000000044,-0.0006963781124998958,-0.0056963781124999,-64.33006649632678,SL,11293.152460361347,11228.82239386502,11293.152460361347,7.864304194519989,0.0
short,2025-11-08 11:00:00+00:00,2025-11-09 12:00:00+00:00,3411.53,3428.58765,-0.00497512437810943,-0.0006963955223879825,-0.005671519900497413,-63.68448966595646,SL,11228.82239386502,11165.137904199064,11228.82239386502,7.819701636777507,0.0
short,2025-11-23 14:00:00+00:00,2025-11-23 15:00:00+00:00,2813.55,2827.61775,-0.004975124378109319,-0.0006963955223879825,-0.005671519900497302,-63.323301815461726,SL,11165.137904199064,11101.814602383602,11165.137904199064,7.775352043328572,0.0
short,2025-11-23 16:00:00+00:00,2025-11-23 19:00:00+00:00,2798.65,2812.6432499999996,-0.004975124378109319,-0.0006963955223879825,-0.005671519900497302,-62.964162449050136,SL,11101.814602383602,11038.850439934551,11101.814602383602,7.731253979481461,0.0
short,2025-11-23 23:00:00+00:00,2025-11-24 02:00:00+00:00,2800.73,2814.7336499999997,-0.004975124378109319,-0.0006963955223879825,-0.005671519900497302,-62.6070599487022,SL,11038.850439934551,10976.243379985848,11038.850439934551,7.687406018681032,0.0
short,2025-11-24 04:00:00+00:00,2025-11-24 05:00:00+00:00,2823.71,2837.8285499999997,-0.004975124378109319,-0.0006963955223879825,-0.005671519900497302,-62.251982762291505,SL,10976.243379985848,10913.991397223557,10976.243379985848,7.643806742462879,0.0
