time,equity
2025-01-01 00:00:00+00:00,10000.0
2025-01-14 22:00:00+00:00,9943.284800995027
2025-01-15 03:00:00+00:00,9886.89126336987
2025-01-15 13:00:00+00:00,9830.817562815613
2025-02-11 14:00:00+00:00,9947.08977681982
2025-02-13 15:00:00+00:00,10084.895019375073
2025-03-06 18:00:00+00:00,10380.559839903024
2025-03-15 04:00:00+00:00,10321.686288192712
2025-03-15 17:00:00+00:00,10263.146639002536
2025-03-15 20:00:00+00:00,10204.93899859771
2025-03-16 12:00:00+00:00,10502.355165250774
2025-03-27 13:00:00+00:00,10442.52977915774
2025-03-27 15:00:00+00:00,10383.045181084617
2025-03-27 22:00:00+00:00,10323.899429773988
2025-04-10 15:00:00+00:00,10859.656805106135
2025-04-22 15:00:00+00:00,11394.659194433047
2025-05-06 05:00:00+00:00,11329.750907198482
2025-05-16 11:00:00+00:00,11697.618629789766
2025-05-17 16:00:00+00:00,11630.98457105866
2025-05-18 17:00:00+00:00,11714.542532773912
2025-05-21 19:00:00+00:00,11648.103271674063
2025-05-24 21:00:00+00:00,11581.751271145158
2025-05-30 13:00:00+00:00,11515.777236699789
2025-06-24 13:00:00+00:00,11450.465276932151
2025-07-05 16:00:00+00:00,11385.239097150694
2025-07-23 07:00:00+00:00,11320.384470352106
2025-07-24 05:00:00+00:00,11255.89928003011
2025-07-24 16:00:00+00:00,11549.686602572076
2025-08-16 02:00:00+00:00,11483.895220602952
2025-08-16 05:00:00+00:00,11418.478611222066
2025-08-17 11:00:00+00:00,11776.979080418942
2025-08-31 15:00:00+00:00,11710.185709196603
2025-09-01 00:00:00+00:00,11860.268975174276
2025-09-15 08:00:00+00:00,11792.708398575733
2025-09-16 10:00:00+00:00,11725.532672566993
2025-09-28 13:00:00+00:00,11736.807699477513
2025-09-29 08:00:00+00:00,11670.242161041615
2025-09-29 13:00:00+00:00,11604.054150381644
2025-10-08 14:00:00+00:00,11537.953070303147
2025-10-13 06:00:00+00:00,11472.515339853917
2025-10-13 17:00:00+00:00,11407.448740795173
2025-10-20 03:00:00+00:00,11342.751168247849
2025-10-21 16:00:00+00:00,11357.567128351024
2025-10-24 19:00:00+00:00,11293.152460361347
2025-10-29 09:00:00+00:00,11228.82239386502
2025-11-09 12:00:00+00:00,11165.137904199064
2025-11-23 15:00:00+00:00,11101.814602383602
2025-11-23 19:00:00+00:00,11038.850439934551
2025-11-24 02:00:00+00:00,10976.243379985848
2025-11-24 05:00:00+00:00,10913.991397223557
2025-11-24 16:00:00+00:00,10852.092477820348
2025-11-25 04:00:00+00:00,10790.544619370352
2025-11-25 22:00:00+00:00,10729.345830824388
2025-11-30 14:00:00+00:00,10866.549781479333
2025-12-06 08:00:00+00:00,10804.649805145724
2025-12-12 15:00:00+00:00,10743.102434482465
2025-12-19 18:00:00+00:00,10682.172715232216
2025-12-21 09:00:00+00:00,10621.588560097227
2026-01-08 02:00:00+00:00,10561.08397550351
2026-01-08 06:00:00+00:00,10500.924047901179
2026-01-12 02:00:00+00:00,10441.367848189895
2026-01-27 16:00:00+00:00,10382.149422650473
2026-02-07 17:00:00+00:00,10323.266855589975
2026-02-08 08:00:00+00:00,10264.718242180352
2026-02-08 11:00:00+00:00,10206.501688396827
2026-02-08 19:00:00+00:00,10148.615310956626
2026-02-09 12:00:00+00:00,10484.947914783774
2026-02-22 15:00:00+00:00,10586.795656512542
2026-03-15 07:00:00+00:00,10728.413889046615
2026-03-19 06:00:00+00:00,10667.300786987209
2026-03-19 10:00:00+00:00,10606.535808264762
2026-03-31 01:00:00+00:00,10546.38062935285
