time,equity
2025-04-01 00:00:00+00:00,10000.0
2025-04-09 11:45:00+00:00,10024.517169351178
2025-04-10 07:30:00+00:00,9960.435318540862
2025-04-21 15:00:00+00:00,9896.763111759668
2025-04-25 14:00:00+00:00,9833.743773947392
2025-05-04 02:00:00+00:00,9771.125722585388
2025-05-14 13:30:00+00:00,9684.270052417181
2025-05-14 14:15:00+00:00,9598.186443488852
2025-05-14 17:15:00+00:00,9512.868032937482
2025-05-18 13:45:00+00:00,9428.838391063726
2025-05-21 15:00:00+00:00,9548.6302570267
2025-05-25 22:30:00+00:00,9464.284718109864
2025-05-28 06:00:00+00:00,9403.784160219002
2025-06-01 00:30:00+00:00,9457.037658063844
2025-06-06 13:30:00+00:00,9396.818347553242
2025-06-08 09:30:00+00:00,9336.749069276118
2025-06-11 12:45:00+00:00,9433.003750144751
2025-06-12 02:45:00+00:00,9372.703156231053
2025-06-12 07:30:00+00:00,9312.788034614692
2025-06-12 10:15:00+00:00,9253.255921159207
2025-06-14 07:30:00+00:00,9316.76946645778
2025-06-15 04:45:00+00:00,9257.443337733112
2025-06-15 08:15:00+00:00,9290.107486182704
2025-06-15 20:45:00+00:00,9434.055262867862
2025-06-18 11:00:00+00:00,9504.60565276829
2025-06-21 14:30:00+00:00,9545.844834834983
2025-06-23 06:00:00+00:00,9485.060029383267
2025-06-23 07:00:00+00:00,9424.662281613477
2025-06-23 13:30:00+00:00,9364.64912686939
2025-06-25 15:30:00+00:00,9304.785490735996
2025-06-26 15:15:00+00:00,9245.304533641887
2025-06-30 14:45:00+00:00,9186.20380930654
2025-06-30 18:00:00+00:00,9251.480979546106
2025-07-02 11:00:00+00:00,9192.570586468082
2025-07-05 04:15:00+00:00,9134.035315429468
2025-07-05 16:00:00+00:00,9144.885248553956
2025-07-06 10:15:00+00:00,9156.218311515822
2025-07-07 14:00:00+00:00,9097.68707196454
2025-07-24 05:30:00+00:00,9209.705288567226
2025-07-24 14:30:00+00:00,9105.758627642399
2025-07-26 20:00:00+00:00,9128.429647979689
2025-08-03 10:00:00+00:00,9025.400316240637
