time,equity
2025-04-01 00:00:00+00:00,10000.0
2025-06-02 00:00:00+00:00,9936.074875499999
2025-06-03 20:00:00+00:00,10113.133921514893
2025-06-09 20:00:00+00:00,10603.929513933412
2025-06-29 08:00:00+00:00,10536.407172675988
2025-08-04 12:00:00+00:00,10942.527820092706
2025-08-21 16:00:00+00:00,10872.577574768293
2025-08-31 04:00:00+00:00,10803.074487257994
2025-12-01 00:00:00+00:00,11237.453621335764
2025-12-08 20:00:00+00:00,11247.66034093346
2026-01-12 04:00:00+00:00,11371.774978586443
2026-01-13 20:00:00+00:00,11923.65306907547
2026-03-14 20:00:00+00:00,11847.727161560962
2026-03-15 16:00:00+00:00,11772.284725294612
2026-03-24 16:00:00+00:00,11697.03024862322
