side,entry_time,exit_time,entry_price,exit_price,gross_ret,fee_ret,net_ret,pnl,reason,capital_before,capital_after,position_notional,fee_usd,slippage_usd,window_id
short,2025-06-23 13:00:00+00:00,2025-06-23 13:30:00+00:00,2247.35,2264.205125,-0.007444168734491385,-0.0013890918114144446,-0.00883326054590583,-94.42862763293826,SL,10690.121404457546,10595.692776824608,10690.121404457546,14.84956010595826,0.0,5
short,2025-06-23 15:00:00+00:00,2025-06-23 16:30:00+00:00,2264.7,2220.94,0.019703368843822844,-0.0014270850617306152,0.01827628378209223,193.64988805711135,TRAIL_RSI,10595.692776824608,10789.342664881719,10595.692776824608,15.120954880493379,0.0,5
long,2025-06-26 19:30:00+00:00,2025-06-27 00:30:00+00:00,2434.52,2410.1748,-0.01000000000000012,-0.001385514900000051,-0.011385514900000171,-122.84222167221836,SL,10789.342664881719,10666.5004432095,10789.342664881719,14.948795023399878,0.0,6
long,2025-06-27 01:00:00+00:00,2025-06-27 10:00:00+00:00,2421.58,2450.39,0.011897191090114667,-0.0014161602379025862,0.010481030852212081,111.79592023041259,TRAIL_RSI,10666.5004432095,10778.296363439911,10666.5004432095,15.105473805243605,0.0,6
long,2025-07-04 11:00:00+00:00,2025-07-04 13:30:00+00:00,2553.82,2528.2818,-0.010000000000000009,-0.001385514900000051,-0.01138551490000006,-122.71645384256156,SL,10778.296363439911,10655.579909597349,10778.296363439911,14.933490208162363,0.0,6
long,2025-07-07 21:30:00+00:00,2025-07-07 23:30:00+00:00,2538.69,2541.37,0.0010556625661266583,-0.001400987410318022,-0.00034532484419136367,-3.6796364720503294,FORCE_EXIT_END,10655.579909597349,10651.900273125299,10655.579909597349,14.928333302983532,0.0,6
long,2025-07-08 02:00:00+00:00,2025-07-08 14:00:00+00:00,2535.89,2569.33,0.013186691851776011,-0.0014179649071135447,0.011768726944662466,125.35930575618718,TRAIL_RSI,10651.900273125299,10777.259578881485,10651.900273125299,15.104020781364856,0.0,7
long,2025-07-12 21:00:00+00:00,2025-07-13 08:00:00+00:00,2931.89,2957.41,0.008704282902837424,-0.0014116917309654475,0.007292591171871976,78.5941480619238,TRAIL_RSI,10777.259578881485,10855.85372694341,10777.259578881485,15.214168229975154,0.0,7
long,2025-07-15 05:30:00+00:00,2025-07-15 14:30:00+00:00,2973.45,2976.9,0.001160268375119955,-0.0014011338071937551,-0.00024086543207380018,-2.6147998984701983,TRAIL_RSI,10855.85372694341,10853.238927044938,10855.85372694341,15.210503662770735,0.0,7
long,2025-07-22 07:00:00+00:00,2025-07-22 07:30:00+00:00,3712.2,3684.3585,-0.007499999999999951,-0.0013890136749999948,-0.008889013674999946,-96.4745892405442,SL,10853.238927044938,10756.764337804394,10853.238927044938,15.075297287707691,0.0,8
